,x,y,dist,th,outliers
290,45,1465.0,0.0025376980607843664,0.001962708537782139,True
375,31,1910.0,0.0035368358138212898,0.001962708537782139,True
377,58,34.055,0.003051587005601367,0.001962708537782139,True
378,64,0.0,0.00493877973580928,0.001962708537782139,True
396,9,61200.0,0.5008069478330329,0.001962708537782139,True
455,54,1548.5,0.0034249202661281505,0.001962708537782139,True
799,64,233.5,0.0025773974563370414,0.001962708537782139,True
800,88,16.4,0.01720045908888716,0.001962708537782139,True
1186,53,4.845,0.0023089202663854878,0.001962708537782139,True
1238,69,17.049999999999997,0.0064149604332458905,0.001962708537782139,True
1239,59,0.0,0.0035763981978284625,0.001962708537782139,True
1765,32,4555.0,0.02897993116409849,0.001962708537782139,True
1767,109,364.0,0.023318970489565143,0.001962708537782139,True
1768,85,99.0,0.012756805127025653,0.001962708537782139,True
1908,24,10895.0,0.10686598962018294,0.001962708537782139,True
1909,49,5950.0,0.11354456062145586,0.001962708537782139,True
1910,73,4710.0,0.12914541347277372,0.001962708537782139,True
1911,58,152.2,0.0021453516739437517,0.001962708537782139,True
1913,29,8890.0,0.10107355608346508,0.001962708537782139,True
1979,18,2805.0,0.0034843759508586167,0.001962708537782139,True
